GEOID,concept,total_pop,label,county,estimate,pct
47065,Asian Alone,4804,Associate's degree,"Hamilton County, Tennessee",509,0.1059533721898418
47065,Asian Alone,4804,Bachelor's degree,"Hamilton County, Tennessee",1100,0.2289758534554538
47065,Asian Alone,4804,GED or alternative credential,"Hamilton County, Tennessee",101,0.02102414654454621
47065,Asian Alone,4804,Graduate or professional degree,"Hamilton County, Tennessee",978,0.2035803497085762
47065,Asian Alone,4804,Less than 9th grade,"Hamilton County, Tennessee",656,0.13655287260616153
47065,Asian Alone,4804,Regular high school diploma,"Hamilton County, Tennessee",704,0.14654454621149043
47065,Asian Alone,4804,"Some college, no degree","Hamilton County, Tennessee",712,0.1482098251457119
47065,Asian Alone,4804,Total Population,"Hamilton County, Tennessee",4804,1
37063,Black Or African American Alone,76209,"9th to 12th grade, no diploma","Durham County, North Carolina",4877,0.06399506619953024
37063,Black Or African American Alone,76209,Associate's degree,"Durham County, North Carolina",7610,0.09985697227361598
37063,Black Or African American Alone,76209,Bachelor's degree,"Durham County, North Carolina",14446,0.18955766379299033
37063,Black Or African American Alone,76209,GED or alternative credential,"Durham County, North Carolina",3996,0.05243475180096839
37063,Black Or African American Alone,76209,Graduate or professional degree,"Durham County, North Carolina",11322,0.14856513010274378
37063,Black Or African American Alone,76209,Less than 9th grade,"Durham County, North Carolina",1152,0.015116324843522419
37063,Black Or African American Alone,76209,Regular high school diploma,"Durham County, North Carolina",17854,0.2342767914550775
37063,Black Or African American Alone,76209,"Some college, no degree","Durham County, North Carolina",14952,0.19619729953155138
37063,Black Or African American Alone,76209,Total Population,"Durham County, North Carolina",76209,1
37067,Black Or African American Alone,62695,"9th to 12th grade, no diploma","Forsyth County, North Carolina",6543,0.10436238934524285
37067,Black Or African American Alone,62695,Associate's degree,"Forsyth County, North Carolina",4949,0.0789377143312864
37067,Black Or African American Alone,62695,Bachelor's degree,"Forsyth County, North Carolina",8395,0.1339022250578196
37067,Black Or African American Alone,62695,GED or alternative credential,"Forsyth County, North Carolina",961,0.015328176090597336
37067,Black Or African American Alone,62695,Graduate or professional degree,"Forsyth County, North Carolina",3894,0.06211021612568785
37067,Black Or African American Alone,62695,Less than 9th grade,"Forsyth County, North Carolina",2395,0.038200813461998565
37067,Black Or African American Alone,62695,Regular high school diploma,"Forsyth County, North Carolina",20896,0.33329611611771276
37067,Black Or African American Alone,62695,"Some college, no degree","Forsyth County, North Carolina",14662,0.23386234946965467
37067,Black Or African American Alone,62695,Total Population,"Forsyth County, North Carolina",62695,1
37081,Black Or African American Alone,113782,"9th to 12th grade, no diploma","Guilford County, North Carolina",10184,0.08950449104427766
37081,Black Or African American Alone,113782,Associate's degree,"Guilford County, North Carolina",10405,0.09144680177884024
37081,Black Or African American Alone,113782,Bachelor's degree,"Guilford County, North Carolina",19359,0.1701411471058691
37081,Black Or African American Alone,113782,GED or alternative credential,"Guilford County, North Carolina",4498,0.03953173612697966
37081,Black Or African American Alone,113782,Graduate or professional degree,"Guilford County, North Carolina",11322,0.09950607301682164
37081,Black Or African American Alone,113782,Less than 9th grade,"Guilford County, North Carolina",3474,0.03053207009896117
37081,Black Or African American Alone,113782,Regular high school diploma,"Guilford County, North Carolina",26336,0.23146016065810057
37081,Black Or African American Alone,113782,"Some college, no degree","Guilford County, North Carolina",28204,0.24787752017014994
37081,Black Or African American Alone,113782,Total Population,"Guilford County, North Carolina",113782,1
37119,Black Or African American Alone,227489,"9th to 12th grade, no diploma","Mecklenburg County, North Carolina",16705,0.07343212199271174
37119,Black Or African American Alone,227489,Associate's degree,"Mecklenburg County, North Carolina",22093,0.0971167836686609
37119,Black Or African American Alone,227489,Bachelor's degree,"Mecklenburg County, North Carolina",45499,0.20000527498032872
37119,Black Or African American Alone,227489,GED or alternative credential,"Mecklenburg County, North Carolina",5230,0.022990122599334473
37119,Black Or African American Alone,227489,Graduate or professional degree,"Mecklenburg County, North Carolina",23824,0.10472594279283834
37119,Black Or African American Alone,227489,Less than 9th grade,"Mecklenburg County, North Carolina",3939,0.017315122929020745
37119,Black Or African American Alone,227489,Regular high school diploma,"Mecklenburg County, North Carolina",44916,0.19744251370395932
37119,Black Or African American Alone,227489,"Some college, no degree","Mecklenburg County, North Carolina",65283,0.28697211733314576
37119,Black Or African American Alone,227489,Total Population,"Mecklenburg County, North Carolina",227489,1
37129,Black Or African American Alone,19972,"9th to 12th grade, no diploma","New Hanover County, North Carolina",1760,0.08812337272181053
37129,Black Or African American Alone,19972,Associate's degree,"New Hanover County, North Carolina",790,0.03955537752853996
37129,Black Or African American Alone,19972,Bachelor's degree,"New Hanover County, North Carolina",2999,0.15016022431403966
37129,Black Or African American Alone,19972,GED or alternative credential,"New Hanover County, North Carolina",1310,0.06559182855998398
37129,Black Or African American Alone,19972,Graduate or professional degree,"New Hanover County, North Carolina",449,0.022481474063689166
37129,Black Or African American Alone,19972,Less than 9th grade,"New Hanover County, North Carolina",277,0.01386941718405768
37129,Black Or African American Alone,19972,Regular high school diploma,"New Hanover County, North Carolina",6169,0.3088824354095734
37129,Black Or African American Alone,19972,"Some college, no degree","New Hanover County, North Carolina",6218,0.3113358702183056
37129,Black Or African American Alone,19972,Total Population,"New Hanover County, North Carolina",19972,1
37183,Black Or African American Alone,142564,"9th to 12th grade, no diploma","Wake County, North Carolina",9477,0.06647540753626441
37183,Black Or African American Alone,142564,Associate's degree,"Wake County, North Carolina",9533,0.06686821357425438
37183,Black Or African American Alone,142564,Bachelor's degree,"Wake County, North Carolina",31415,0.22035717291882945
37183,Black Or African American Alone,142564,GED or alternative credential,"Wake County, North Carolina",3007,0.021092281361353497
37183,Black Or African American Alone,142564,Graduate or professional degree,"Wake County, North Carolina",18737,0.13142869167531776
37183,Black Or African American Alone,142564,Less than 9th grade,"Wake County, North Carolina",2692,0.018882747397659997
37183,Black Or African American Alone,142564,Regular high school diploma,"Wake County, North Carolina",30190,0.21176454083779916
37183,Black Or African American Alone,142564,"Some college, no degree","Wake County, North Carolina",37513,0.2631309446985214
37183,Black Or African American Alone,142564,Total Population,"Wake County, North Carolina",142564,1
45045,Black Or African American Alone,58788,"9th to 12th grade, no diploma","Greenville County, South Carolina",7381,0.12555283391168265
45045,Black Or African American Alone,58788,Associate's degree,"Greenville County, South Carolina",7197,0.12242294345784854
45045,Black Or African American Alone,58788,Bachelor's degree,"Greenville County, South Carolina",6279,0.1068075117370892
45045,Black Or African American Alone,58788,GED or alternative credential,"Greenville County, South Carolina",1778,0.030244267537592705
45045,Black Or African American Alone,58788,Graduate or professional degree,"Greenville County, South Carolina",3347,0.05693338776621079
45045,Black Or African American Alone,58788,Less than 9th grade,"Greenville County, South Carolina",2066,0.03514322650881132
