GEOID,concept,total_pop,label,county,estimate,pct
3728000,Black Or African American Alone,74133,Associate's degree,"Greensboro city, North Carolina",7537,0.10166862261071317
3728000,Black Or African American Alone,74133,Bachelor's degree,"Greensboro city, North Carolina",12966,0.17490186556594228
3728000,Black Or African American Alone,74133,GED or alternative credential,"Greensboro city, North Carolina",2606,0.03515303576005288
3728000,Black Or African American Alone,74133,Graduate or professional degree,"Greensboro city, North Carolina",7780,0.10494651504727989
3728000,Black Or African American Alone,74133,Less than 9th grade,"Greensboro city, North Carolina",1164,0.015701509449233136
3728000,Black Or African American Alone,74133,Regular high school diploma,"Greensboro city, North Carolina",16426,0.22157473729648064
3728000,Black Or African American Alone,74133,"Some college, no degree","Greensboro city, North Carolina",18917,0.255176507088611
3728000,Black Or African American Alone,74133,Total Population,"Greensboro city, North Carolina",74133,1
3731400,Black Or African American Alone,25270,"9th to 12th grade, no diploma","High Point city, North Carolina",3143,0.12437673130193906
3731400,Black Or African American Alone,25270,Associate's degree,"High Point city, North Carolina",2215,0.08765334388603087
3731400,Black Or African American Alone,25270,Bachelor's degree,"High Point city, North Carolina",2560,0.10130589631974674
3731400,Black Or African American Alone,25270,GED or alternative credential,"High Point city, North Carolina",1421,0.05623268698060942
3731400,Black Or African American Alone,25270,Graduate or professional degree,"High Point city, North Carolina",2122,0.08397309062129006
3731400,Black Or African American Alone,25270,Less than 9th grade,"High Point city, North Carolina",2117,0.08377522754254056
3731400,Black Or African American Alone,25270,Regular high school diploma,"High Point city, North Carolina",6533,0.2585278986941037
3731400,Black Or African American Alone,25270,"Some college, no degree","High Point city, North Carolina",5159,0.2041551246537396
3731400,Black Or African American Alone,25270,Total Population,"High Point city, North Carolina",25270,1
3755000,Black Or African American Alone,87233,"9th to 12th grade, no diploma","Raleigh city, North Carolina",7477,0.08571297559409856
3755000,Black Or African American Alone,87233,Associate's degree,"Raleigh city, North Carolina",6050,0.06935448740728853
3755000,Black Or African American Alone,87233,Bachelor's degree,"Raleigh city, North Carolina",18440,0.2113878921967604
3755000,Black Or African American Alone,87233,GED or alternative credential,"Raleigh city, North Carolina",2611,0.029931333325690965
3755000,Black Or African American Alone,87233,Graduate or professional degree,"Raleigh city, North Carolina",9705,0.11125376864260085
3755000,Black Or African American Alone,87233,Less than 9th grade,"Raleigh city, North Carolina",1878,0.021528549975353365
3755000,Black Or African American Alone,87233,Regular high school diploma,"Raleigh city, North Carolina",19243,0.2205931241617278
3755000,Black Or African American Alone,87233,"Some college, no degree","Raleigh city, North Carolina",21829,0.25023786869647957
3755000,Black Or African American Alone,87233,Total Population,"Raleigh city, North Carolina",87233,1
3774440,Black Or African American Alone,15142,"9th to 12th grade, no diploma","Wilmington city, North Carolina",1464,0.09668471800290583
3774440,Black Or African American Alone,15142,Associate's degree,"Wilmington city, North Carolina",661,0.043653414344208163
3774440,Black Or African American Alone,15142,Bachelor's degree,"Wilmington city, North Carolina",2432,0.1606128648791441
3774440,Black Or African American Alone,15142,GED or alternative credential,"Wilmington city, North Carolina",594,0.03922863558314622
3774440,Black Or African American Alone,15142,Graduate or professional degree,"Wilmington city, North Carolina",449,0.029652621846519615
3774440,Black Or African American Alone,15142,Less than 9th grade,"Wilmington city, North Carolina",143,0.0094439307885352
3774440,Black Or African American Alone,15142,Regular high school diploma,"Wilmington city, North Carolina",5243,0.34625544842160877
3774440,Black Or African American Alone,15142,"Some college, no degree","Wilmington city, North Carolina",4156,0.2744683661339321
3774440,Black Or African American Alone,15142,Total Population,"Wilmington city, North Carolina",15142,1
3775000,Black Or African American Alone,53573,"9th to 12th grade, no diploma","Winston-Salem city, North Carolina",5455,0.10182367983872473
3775000,Black Or African American Alone,53573,Associate's degree,"Winston-Salem city, North Carolina",4509,0.08416553114441977
3775000,Black Or African American Alone,53573,Bachelor's degree,"Winston-Salem city, North Carolina",6436,0.12013514270248073
3775000,Black Or African American Alone,53573,GED or alternative credential,"Winston-Salem city, North Carolina",887,0.016556847665801802
3775000,Black Or African American Alone,53573,Graduate or professional degree,"Winston-Salem city, North Carolina",3150,0.05879827525059265
3775000,Black Or African American Alone,53573,Less than 9th grade,"Winston-Salem city, North Carolina",2318,0.04326806413678532
3775000,Black Or African American Alone,53573,Regular high school diploma,"Winston-Salem city, North Carolina",18568,0.3465924999533347
3775000,Black Or African American Alone,53573,"Some college, no degree","Winston-Salem city, North Carolina",12250,0.22865995930786032
3775000,Black Or African American Alone,53573,Total Population,"Winston-Salem city, North Carolina",53573,1
3712000,Hispanic Or Latino,68807,"9th to 12th grade, no diploma","Charlotte city, North Carolina",8121,0.11802578226052582
3712000,Hispanic Or Latino,68807,Associate's degree,"Charlotte city, North Carolina",3392,0.04929730986672867
3712000,Hispanic Or Latino,68807,Bachelor's degree,"Charlotte city, North Carolina",8600,0.12498728327059747
3712000,Hispanic Or Latino,68807,GED or alternative credential,"Charlotte city, North Carolina",900,0.01308006452831834
3712000,Hispanic Or Latino,68807,Graduate or professional degree,"Charlotte city, North Carolina",2551,0.03707471623526676
3712000,Hispanic Or Latino,68807,Less than 9th grade,"Charlotte city, North Carolina",19147,0.2782711061374569
3712000,Hispanic Or Latino,68807,Regular high school diploma,"Charlotte city, North Carolina",15469,0.22481724243172932
3712000,Hispanic Or Latino,68807,"Some college, no degree","Charlotte city, North Carolina",10627,0.15444649526937665
3712000,Hispanic Or Latino,68807,Total Population,"Charlotte city, North Carolina",68807,1
3719000,Hispanic Or Latino,20037,"9th to 12th grade, no diploma","Durham city, North Carolina",1885,0.0940759594749713
3719000,Hispanic Or Latino,20037,Associate's degree,"Durham city, North Carolina",409,0.02041223736088237
3719000,Hispanic Or Latino,20037,Bachelor's degree,"Durham city, North Carolina",1594,0.07955282726955133
