GEOID,Name,Variable,survey_year_2012,survey_year_2013,survey_year_2014,survey_year_2015,survey_year_2016,survey_year_2017
37081016204,"Census Tract 162.04, Guilford County, North Carolina",B19301_001,30226,32810,32377,33645,35706,36586
37081016205,"Census Tract 162.05, Guilford County, North Carolina",B19301_001,28875,27943,27046,27324,29219,30429
37081016303,"Census Tract 163.03, Guilford County, North Carolina",B19301_001,27517,27699,29944,28008,29544,33825
37081016304,"Census Tract 163.04, Guilford County, North Carolina",B19301_001,41974,42511,40121,41786,42262,44190
37081016305,"Census Tract 163.05, Guilford County, North Carolina",B19301_001,35854,36952,36396,38636,42009,43975
37081016306,"Census Tract 163.06, Guilford County, North Carolina",B19301_001,30409,30944,29452,28413,32419,32689
37081016405,"Census Tract 164.05, Guilford County, North Carolina",B19301_001,23867,22184,24170,24234,22718,20826
37081016406,"Census Tract 164.06, Guilford County, North Carolina",B19301_001,35353,37513,37069,38803,40789,38709
37081016407,"Census Tract 164.07, Guilford County, North Carolina",B19301_001,32791,33991,33320,33174,34401,37637
37081016408,"Census Tract 164.08, Guilford County, North Carolina",B19301_001,45340,44061,47490,47902,41623,41786
37081016409,"Census Tract 164.09, Guilford County, North Carolina",B19301_001,46108,44149,39151,37260,39735,37181
37081016410,"Census Tract 164.10, Guilford County, North Carolina",B19301_001,21116,21315,19687,22012,22583,22622
37081016502,"Census Tract 165.02, Guilford County, North Carolina",B19301_001,48963,46747,44514,47199,42332,46005
37081016503,"Census Tract 165.03, Guilford County, North Carolina",B19301_001,30597,32053,31731,30673,29843,31967
37081016505,"Census Tract 165.05, Guilford County, North Carolina",B19301_001,28829,29197,29179,27746,27784,31369
37081016506,"Census Tract 165.06, Guilford County, North Carolina",B19301_001,28002,27920,27043,29422,30343,31187
37081016600,"Census Tract 166, Guilford County, North Carolina",B19301_001,22599,23732,24785,26583,24357,25037
37081016701,"Census Tract 167.01, Guilford County, North Carolina",B19301_001,18593,18693,18492,18109,17385,20393
37081016702,"Census Tract 167.02, Guilford County, North Carolina",B19301_001,24245,25135,24086,24552,25752,25879
37081016800,"Census Tract 168, Guilford County, North Carolina",B19301_001,22342,21235,21744,21166,24672,24854
37081016900,"Census Tract 169, Guilford County, North Carolina",B19301_001,28039,28605,29175,27987,27405,28375
37081017000,"Census Tract 170, Guilford County, North Carolina",B19301_001,29129,28034,27176,26287,26779,27071
37081017100,"Census Tract 171, Guilford County, North Carolina",B19301_001,32819,31630,32707,33293,36681,37583
37081017200,"Census Tract 172, Guilford County, North Carolina",B19301_001,28221,27553,28465,27213,27517,27606
37081980100,"Census Tract 9801, Guilford County, North Carolina",B19301_001,,,,,,
