fiscal_year,year,month,JURISDICTION,trade,inspection_count
2015,2014,Nov,PTIA,Building,1
2015,2014,Nov,PTIA,Electrical,3
2015,2014,Nov,PTIA,Other,1
2015,2014,Nov,Stokesdale,Building,26
2015,2014,Nov,Stokesdale,Electrical,14
2015,2014,Nov,Stokesdale,Other,5
2015,2014,Nov,Stokesdale,Plumbing/Mechanical/Gas,18
2015,2014,Nov,Summerfield,Building,88
2015,2014,Nov,Summerfield,Electrical,91
2015,2014,Nov,Summerfield,Other,2
2015,2014,Nov,Summerfield,Plumbing/Mechanical/Gas,72
2015,2014,Dec,Guilford County,Building,668
2015,2014,Dec,Guilford County,Electrical,649
2015,2014,Dec,Guilford County,Other,267
2015,2014,Dec,Guilford County,Plumbing/Mechanical/Gas,862
2015,2014,Dec,Jamestown,Building,37
2015,2014,Dec,Jamestown,Electrical,36
2015,2014,Dec,Jamestown,Other,8
2015,2014,Dec,Jamestown,Plumbing/Mechanical/Gas,42
2015,2014,Dec,Oak Ridge,Building,83
2015,2014,Dec,Oak Ridge,Electrical,73
2015,2014,Dec,Oak Ridge,Other,3
2015,2014,Dec,Oak Ridge,Plumbing/Mechanical/Gas,84
2015,2014,Dec,Pleasant Garden,Building,36
2015,2014,Dec,Pleasant Garden,Electrical,27
2015,2014,Dec,Pleasant Garden,Other,9
2015,2014,Dec,Pleasant Garden,Plumbing/Mechanical/Gas,30
2015,2014,Dec,PTIA,Building,12
2015,2014,Dec,PTIA,Electrical,4
2015,2014,Dec,Sedalia,Building,1
2015,2014,Dec,Sedalia,Electrical,7
2015,2014,Dec,Sedalia,Other,1
2015,2014,Dec,Sedalia,Plumbing/Mechanical/Gas,5
2015,2014,Dec,Stokesdale,Building,20
2015,2014,Dec,Stokesdale,Electrical,15
2015,2014,Dec,Stokesdale,Other,10
2015,2014,Dec,Stokesdale,Plumbing/Mechanical/Gas,37
2015,2014,Dec,Summerfield,Building,86
2015,2014,Dec,Summerfield,Electrical,108
2015,2014,Dec,Summerfield,Other,6
2015,2014,Dec,Summerfield,Plumbing/Mechanical/Gas,82
2015,2015,Jan,Guilford County,Building,635
2015,2015,Jan,Guilford County,Electrical,419
2015,2015,Jan,Guilford County,Other,231
2015,2015,Jan,Guilford County,Plumbing/Mechanical/Gas,755
2015,2015,Jan,Jamestown,Building,16
2015,2015,Jan,Jamestown,Electrical,22
2015,2015,Jan,Jamestown,Other,7
2015,2015,Jan,Jamestown,Plumbing/Mechanical/Gas,38
2015,2015,Jan,Oak Ridge,Building,106
2015,2015,Jan,Oak Ridge,Electrical,81
2015,2015,Jan,Oak Ridge,Other,13
2015,2015,Jan,Oak Ridge,Plumbing/Mechanical/Gas,106
2015,2015,Jan,Pleasant Garden,Building,9
2015,2015,Jan,Pleasant Garden,Electrical,15
2015,2015,Jan,Pleasant Garden,Other,3
2015,2015,Jan,Pleasant Garden,Plumbing/Mechanical/Gas,20
2015,2015,Jan,PTIA,Building,16
2015,2015,Jan,PTIA,Electrical,2
2015,2015,Jan,PTIA,Plumbing/Mechanical/Gas,1
2015,2015,Jan,Sedalia,Building,6
2015,2015,Jan,Sedalia,Electrical,1
2015,2015,Jan,Stokesdale,Building,31
2015,2015,Jan,Stokesdale,Electrical,23
2015,2015,Jan,Stokesdale,Other,10
2015,2015,Jan,Stokesdale,Plumbing/Mechanical/Gas,57
2015,2015,Jan,Summerfield,Building,122
2015,2015,Jan,Summerfield,Electrical,82
2015,2015,Jan,Summerfield,Other,10
2015,2015,Jan,Summerfield,Plumbing/Mechanical/Gas,91
2015,2015,Jan,Whitsett,Electrical,2
2015,2015,Jan,Whitsett,Other,2
2015,2015,Jan,Whitsett,Plumbing/Mechanical/Gas,1
2015,2015,Feb,Guilford County,Building,542
2015,2015,Feb,Guilford County,Electrical,417
2015,2015,Feb,Guilford County,Other,234
2015,2015,Feb,Guilford County,Plumbing/Mechanical/Gas,592
2015,2015,Feb,Jamestown,Building,29
2015,2015,Feb,Jamestown,Electrical,20
2015,2015,Feb,Jamestown,Other,9
2015,2015,Feb,Jamestown,Plumbing/Mechanical/Gas,37
2015,2015,Feb,Oak Ridge,Building,100
2015,2015,Feb,Oak Ridge,Electrical,73
2015,2015,Feb,Oak Ridge,Other,13
2015,2015,Feb,Oak Ridge,Plumbing/Mechanical/Gas,103
2015,2015,Feb,Pleasant Garden,Building,13
2015,2015,Feb,Pleasant Garden,Electrical,23
2015,2015,Feb,Pleasant Garden,Plumbing/Mechanical/Gas,44
2015,2015,Feb,PTIA,Building,5
2015,2015,Feb,Sedalia,Building,3
2015,2015,Feb,Sedalia,Electrical,4
2015,2015,Feb,Sedalia,Plumbing/Mechanical/Gas,3
2015,2015,Feb,Stokesdale,Building,17
2015,2015,Feb,Stokesdale,Electrical,12
2015,2015,Feb,Stokesdale,Other,7
2015,2015,Feb,Stokesdale,Plumbing/Mechanical/Gas,25
2015,2015,Feb,Summerfield,Building,72
2015,2015,Feb,Summerfield,Electrical,73
2015,2015,Feb,Summerfield,Other,13
2015,2015,Feb,Summerfield,Plumbing/Mechanical/Gas,77
2015,2015,Feb,Whitsett,Building,1
2015,2015,Feb,Whitsett,Electrical,1
2015,2015,Feb,Whitsett,Other,5
2015,2015,Mar,Greensboro,Other,1
2015,2015,Mar,Guilford County,Building,741
2015,2015,Mar,Guilford County,Electrical,456
2015,2015,Mar,Guilford County,Other,322
2015,2015,Mar,Guilford County,Plumbing/Mechanical/Gas,850
2015,2015,Mar,Jamestown,Building,31
2015,2015,Mar,Jamestown,Electrical,21
2015,2015,Mar,Jamestown,Other,19
2015,2015,Mar,Jamestown,Plumbing/Mechanical/Gas,52
2015,2015,Mar,Oak Ridge,Building,109
2015,2015,Mar,Oak Ridge,Electrical,66
2015,2015,Mar,Oak Ridge,Other,10
2015,2015,Mar,Oak Ridge,Plumbing/Mechanical/Gas,142
2015,2015,Mar,Pleasant Garden,Building,10
2015,2015,Mar,Pleasant Garden,Electrical,14
2015,2015,Mar,Pleasant Garden,Plumbing/Mechanical/Gas,13
2015,2015,Mar,PTIA,Building,7
2015,2015,Mar,PTIA,Electrical,4
2015,2015,Mar,PTIA,Plumbing/Mechanical/Gas,5
2015,2015,Mar,Sedalia,Electrical,1
2015,2015,Mar,Stokesdale,Building,24
2015,2015,Mar,Stokesdale,Electrical,41
2015,2015,Mar,Stokesdale,Other,6
2015,2015,Mar,Stokesdale,Plumbing/Mechanical/Gas,35
2015,2015,Mar,Summerfield,Building,117
2015,2015,Mar,Summerfield,Electrical,85
2015,2015,Mar,Summerfield,Other,26
2015,2015,Mar,Summerfield,Plumbing/Mechanical/Gas,122
2015,2015,Mar,Whitsett,Other,1
2015,2015,Apr,Greensboro,Other,1
2015,2015,Apr,Guilford County,Building,749
2015,2015,Apr,Guilford County,Electrical,502
2015,2015,Apr,Guilford County,Other,416
2015,2015,Apr,Guilford County,Plumbing/Mechanical/Gas,837
2015,2015,Apr,Jamestown,Building,42
2015,2015,Apr,Jamestown,Electrical,42
2015,2015,Apr,Jamestown,Other,30
2015,2015,Apr,Jamestown,Plumbing/Mechanical/Gas,55
2015,2015,Apr,Oak Ridge,Building,114
2015,2015,Apr,Oak Ridge,Electrical,81
2015,2015,Apr,Oak Ridge,Other,4
2015,2015,Apr,Oak Ridge,Plumbing/Mechanical/Gas,152
2015,2015,Apr,Pleasant Garden,Building,11
2015,2015,Apr,Pleasant Garden,Electrical,30
2015,2015,Apr,Pleasant Garden,Other,1
2015,2015,Apr,Pleasant Garden,Plumbing/Mechanical/Gas,37
2015,2015,Apr,PTIA,Building,20
2015,2015,Apr,PTIA,Electrical,5
2015,2015,Apr,PTIA,Plumbing/Mechanical/Gas,16
2015,2015,Apr,Sedalia,Electrical,3
2015,2015,Apr,Sedalia,Plumbing/Mechanical/Gas,4
2015,2015,Apr,Stokesdale,Building,48
2015,2015,Apr,Stokesdale,Electrical,28
2015,2015,Apr,Stokesdale,Other,12
2015,2015,Apr,Stokesdale,Plumbing/Mechanical/Gas,38
2015,2015,Apr,Summerfield,Building,134
2015,2015,Apr,Summerfield,Electrical,98
2015,2015,Apr,Summerfield,Other,14
2015,2015,Apr,Summerfield,Plumbing/Mechanical/Gas,122
2015,2015,Apr,Whitsett,Building,1
2015,2015,May,Greensboro,Other,2
2015,2015,May,Guilford County,Building,719
2015,2015,May,Guilford County,Electrical,427
2015,2015,May,Guilford County,Other,313
2015,2015,May,Guilford County,Plumbing/Mechanical/Gas,652
2015,2015,May,Jamestown,Building,44
2015,2015,May,Jamestown,Electrical,35
2015,2015,May,Jamestown,Other,20
2015,2015,May,Jamestown,Plumbing/Mechanical/Gas,80
2015,2015,May,Oak Ridge,Building,107
2015,2015,May,Oak Ridge,Electrical,70
2015,2015,May,Oak Ridge,Other,9
2015,2015,May,Oak Ridge,Plumbing/Mechanical/Gas,81
2015,2015,May,Pleasant Garden,Building,7
2015,2015,May,Pleasant Garden,Electrical,15
2015,2015,May,Pleasant Garden,Other,1
2015,2015,May,Pleasant Garden,Plumbing/Mechanical/Gas,8
2015,2015,May,PTIA,Building,9
2015,2015,May,PTIA,Electrical,10
2015,2015,May,PTIA,Other,1
2015,2015,May,PTIA,Plumbing/Mechanical/Gas,18
2015,2015,May,Sedalia,Building,2
2015,2015,May,Sedalia,Electrical,2
2015,2015,May,Sedalia,Plumbing/Mechanical/Gas,3
2015,2015,May,Stokesdale,Building,30
2015,2015,May,Stokesdale,Electrical,19
2015,2015,May,Stokesdale,Other,8
2015,2015,May,Stokesdale,Plumbing/Mechanical/Gas,28
2015,2015,May,Summerfield,Building,97
2015,2015,May,Summerfield,Electrical,71
2015,2015,May,Summerfield,Other,9
2015,2015,May,Summerfield,Plumbing/Mechanical/Gas,108
2015,2015,May,Whitsett,Building,3
2015,2015,May,Whitsett,Electrical,2
2016,2015,Jun,Greensboro,Other,1
2016,2015,Jun,Guilford County,Building,669
2016,2015,Jun,Guilford County,Electrical,467
2016,2015,Jun,Guilford County,Other,347
2016,2015,Jun,Guilford County,Plumbing/Mechanical/Gas,708
2016,2015,Jun,Jamestown,Building,45
2016,2015,Jun,Jamestown,Electrical,37
2016,2015,Jun,Jamestown,Other,17
2016,2015,Jun,Jamestown,Plumbing/Mechanical/Gas,45
2016,2015,Jun,Oak Ridge,Building,153
2016,2015,Jun,Oak Ridge,Electrical,88
2016,2015,Jun,Oak Ridge,Other,25
2016,2015,Jun,Oak Ridge,Plumbing/Mechanical/Gas,105
