GEOID,Name,Variable,survey_year_2012,survey_year_2013,survey_year_2014,survey_year_2015,survey_year_2016,survey_year_2017
37081016007,"Census Tract 160.07, Guilford County, North Carolina",B25077_001,185300,186600,175300,165700,167800,165000
37081016008,"Census Tract 160.08, Guilford County, North Carolina",B25077_001,178600,179700,172200,168400,172800,175800
37081016009,"Census Tract 160.09, Guilford County, North Carolina",B25077_001,201800,205700,204600,206800,207900,210800
37081016010,"Census Tract 160.10, Guilford County, North Carolina",B25077_001,158100,163700,152300,149900,161100,158300
37081016011,"Census Tract 160.11, Guilford County, North Carolina",B25077_001,94200,95900,100300,88600,97700,99600
37081016101,"Census Tract 161.01, Guilford County, North Carolina",B25077_001,168900,160900,163800,159400,157600,167500
37081016102,"Census Tract 161.02, Guilford County, North Carolina",B25077_001,164000,154300,154500,159600,155500,162000
37081016103,"Census Tract 161.03, Guilford County, North Carolina",B25077_001,130200,139200,129900,122600,121600,130100
37081016201,"Census Tract 162.01, Guilford County, North Carolina",B25077_001,309700,306500,296500,291700,294800,293900
37081016203,"Census Tract 162.03, Guilford County, North Carolina",B25077_001,222800,199900,191500,184900,193700,197100
37081016204,"Census Tract 162.04, Guilford County, North Carolina",B25077_001,251500,246100,246700,246300,260400,251500
37081016205,"Census Tract 162.05, Guilford County, North Carolina",B25077_001,172900,178900,176300,183200,183400,186100
37081016303,"Census Tract 163.03, Guilford County, North Carolina",B25077_001,159000,157600,157500,159300,158000,160300
37081016304,"Census Tract 163.04, Guilford County, North Carolina",B25077_001,220700,220000,216900,216100,215600,216800
37081016305,"Census Tract 163.05, Guilford County, North Carolina",B25077_001,221300,218500,221900,225400,224800,230500
37081016306,"Census Tract 163.06, Guilford County, North Carolina",B25077_001,163800,155300,149200,149600,154600,146600
37081016405,"Census Tract 164.05, Guilford County, North Carolina",B25077_001,70800,74600,73600,72800,74000,74300
37081016406,"Census Tract 164.06, Guilford County, North Carolina",B25077_001,139900,137100,135300,134600,134800,136300
37081016407,"Census Tract 164.07, Guilford County, North Carolina",B25077_001,199500,188400,193000,196700,188700,194800
37081016408,"Census Tract 164.08, Guilford County, North Carolina",B25077_001,228000,237400,241100,238800,229900,236800
37081016409,"Census Tract 164.09, Guilford County, North Carolina",B25077_001,215100,210300,209800,222600,233500,232600
37081016410,"Census Tract 164.10, Guilford County, North Carolina",B25077_001,140800,138200,137400,141100,130400,136100
37081016502,"Census Tract 165.02, Guilford County, North Carolina",B25077_001,265200,254800,233500,228900,222400,237500
37081016503,"Census Tract 165.03, Guilford County, North Carolina",B25077_001,129600,126300,117600,116300,122400,120500
37081016505,"Census Tract 165.05, Guilford County, North Carolina",B25077_001,191000,193000,188500,193800,190800,190600
37081016506,"Census Tract 165.06, Guilford County, North Carolina",B25077_001,174400,166000,167000,163800,159600,165000
37081016600,"Census Tract 166, Guilford County, North Carolina",B25077_001,127200,127000,124500,118800,111000,118500
37081016701,"Census Tract 167.01, Guilford County, North Carolina",B25077_001,131600,131800,130800,128300,125100,132000
37081016702,"Census Tract 167.02, Guilford County, North Carolina",B25077_001,147800,138900,133800,131900,138300,144600
37081016800,"Census Tract 168, Guilford County, North Carolina",B25077_001,126300,122300,120600,119600,118900,121400
37081016900,"Census Tract 169, Guilford County, North Carolina",B25077_001,151000,144400,128300,136900,144400,153300
37081017000,"Census Tract 170, Guilford County, North Carolina",B25077_001,187200,185300,173400,174600,170500,177400
37081017100,"Census Tract 171, Guilford County, North Carolina",B25077_001,195600,194700,192800,189500,196200,205100
37081017200,"Census Tract 172, Guilford County, North Carolina",B25077_001,165100,171300,171500,166500,164300,159300
37081980100,"Census Tract 9801, Guilford County, North Carolina",B25077_001,,,,,,
