GEOID,Name,Variable,survey_year_2012,survey_year_2013,survey_year_2014,survey_year_2015,survey_year_2016,survey_year_2017
37081016201,"Census Tract 162.01, Guilford County, North Carolina",B19058_002,39,96,120,125,106,129
37081016203,"Census Tract 162.03, Guilford County, North Carolina",B19058_002,91,145,191,206,92,86
37081016204,"Census Tract 162.04, Guilford County, North Carolina",B19058_002,25,39,32,5,40,63
37081016205,"Census Tract 162.05, Guilford County, North Carolina",B19058_002,76,52,50,66,75,69
37081016303,"Census Tract 163.03, Guilford County, North Carolina",B19058_002,46,45,24,28,67,60
37081016304,"Census Tract 163.04, Guilford County, North Carolina",B19058_002,68,68,6,7,9,10
37081016305,"Census Tract 163.05, Guilford County, North Carolina",B19058_002,23,32,65,46,38,32
37081016306,"Census Tract 163.06, Guilford County, North Carolina",B19058_002,138,161,142,205,180,318
37081016405,"Census Tract 164.05, Guilford County, North Carolina",B19058_002,51,89,105,84,136,146
37081016406,"Census Tract 164.06, Guilford County, North Carolina",B19058_002,38,75,75,85,83,66
37081016407,"Census Tract 164.07, Guilford County, North Carolina",B19058_002,27,24,27,26,24,17
37081016408,"Census Tract 164.08, Guilford County, North Carolina",B19058_002,10,17,30,24,17,17
37081016409,"Census Tract 164.09, Guilford County, North Carolina",B19058_002,50,39,50,56,46,39
37081016410,"Census Tract 164.10, Guilford County, North Carolina",B19058_002,213,252,279,269,364,341
37081016502,"Census Tract 165.02, Guilford County, North Carolina",B19058_002,48,90,104,92,107,107
37081016503,"Census Tract 165.03, Guilford County, North Carolina",B19058_002,119,106,117,151,145,110
37081016505,"Census Tract 165.05, Guilford County, North Carolina",B19058_002,151,104,136,109,164,67
37081016506,"Census Tract 165.06, Guilford County, North Carolina",B19058_002,70,74,91,115,117,105
37081016600,"Census Tract 166, Guilford County, North Carolina",B19058_002,108,99,120,109,125,129
37081016701,"Census Tract 167.01, Guilford County, North Carolina",B19058_002,91,148,248,227,309,361
37081016702,"Census Tract 167.02, Guilford County, North Carolina",B19058_002,102,104,134,124,85,115
37081016800,"Census Tract 168, Guilford County, North Carolina",B19058_002,211,219,249,250,235,388
37081016900,"Census Tract 169, Guilford County, North Carolina",B19058_002,57,81,131,154,147,147
37081017000,"Census Tract 170, Guilford County, North Carolina",B19058_002,58,104,100,127,147,141
37081017100,"Census Tract 171, Guilford County, North Carolina",B19058_002,93,79,100,67,82,84
37081017200,"Census Tract 172, Guilford County, North Carolina",B19058_002,84,81,86,123,106,126
37081980100,"Census Tract 9801, Guilford County, North Carolina",B19058_002,0,0,0,0,0,0
